(c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Endgültig;;;;;;;;;;;;;;;
Stand:;06.10.2017;15:01;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung
BT;24.09.2017;Bund;99;Bundesgebiet;;;System-Gruppe;Wahlberechtigte;-4;;61688485;;61946900;;-0,417156;;
BT;24.09.2017;Bund;99;Bundesgebiet;;;System-Gruppe;Wähler;-3;;46976341;76,150907;44309925;71,528882;6,01765;4,622025;
BT;24.09.2017;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;1;586726;1,248982;684883;1,545665;-14,331937;-0,296683;
BT;24.09.2017;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;2;460849;0,981024;583069;1,315888;-20,961499;-0,334864;
BT;24.09.2017;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;1;46389615;98,751018;43625042;98,454335;6,337124;0,296683;
BT;24.09.2017;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;2;46515492;99,018976;43726856;98,684112;6,377399;0,334864;
BT;24.09.2017;Bund;99;Bundesgebiet;;;Partei;CDU;1;1;14030751;30,245457;16233642;37,211751;-13,569912;-6,966294;
BT;24.09.2017;Bund;99;Bundesgebiet;;;Partei;CDU;1;2;12447656;26,760237;14921877;34,1252;-16,581165;-7,364963;
BT;24.09.2017;Bund;99;Bundesgebiet;;;Partei;SPD;2;1;11429231;24,637478;12843458;29,440563;-11,011263;-4,803085;
BT;24.09.2017;Bund;99;Bundesgebiet;;;Partei;SPD;2;2;9539381;20,507965;11252215;25,732961;-15,222194;-5,224996;
BT;24.09.2017;Bund;99;Bundesgebiet;;;Partei;DIE LINKE;3;1;3966637;8,5507;3585178;8,218165;10,63989;0,332535;
BT;24.09.2017;Bund;99;Bundesgebiet;;;Partei;DIE LINKE;3;2;4297270;9,238363;3755699;8,588998;14,419979;0,649365;
BT;24.09.2017;Bund;99;Bundesgebiet;;;Partei;GRÜNE;4;1;3717922;8,014557;3180299;7,290077;16,904794;0,72448;
