# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2017;;;;;;;;;;;;;;;;
# Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 19. Deutschen Bundestag;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 28.02.2017;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;01;0000;000;Schleswig-Holstein;;Flensburg, Stadt;;Flensburg, Stadt;00;;;24937;*****
001;Flensburg – Schleswig;01;0;59;5996;001;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Alt Bennebek;00;;;24848;
001;Flensburg – Schleswig;01;0;59;5920;002;Schleswig-Holstein;;Schleswig-Flensburg;Kappeln-Land;Arnis, Stadt;00;;;24399;
001;Flensburg – Schleswig;01;0;59;5996;005;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Bergenhusen;00;;;24861;
001;Flensburg – Schleswig;01;0;59;5974;006;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Böel;00;;;24401;*****
001;Flensburg – Schleswig;01;0;59;5987;008;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Böklund;00;;;24860;
001;Flensburg – Schleswig;01;0;59;5996;009;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Börm;00;;;24863;*****
001;Flensburg – Schleswig;01;0;59;5993;010;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Bollingstedt;00;;;24855;
001;Flensburg – Schleswig;01;0;59;5915;012;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Borgwedel;00;;;24857;
001;Flensburg – Schleswig;01;0;59;5974;014;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Brebel;00;;;24392;*****
001;Flensburg – Schleswig;01;0;59;5987;016;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Brodersby;00;;;24864;*****
001;Flensburg – Schleswig;01;0;59;5915;018;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Busdorf;00;;;24866;
001;Flensburg – Schleswig;01;0;59;5915;019;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Dannewerk;00;;;24867;
001;Flensburg – Schleswig;01;0;59;5996;020;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Dörpstedt;00;;;24869;
001;Flensburg – Schleswig;01;0;59;5974;021;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Dollrottfeld;00;;;24392;
001;Flensburg – Schleswig;01;0;59;5993;023;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Ellingstedt;00;;;24870;
001;Flensburg – Schleswig;01;0;59;5996;024;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Erfde;00;;;24803;
001;Flensburg – Schleswig;01;0;59;5915;026;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Fahrdorf;00;;;24857;
001;Flensburg – Schleswig;01;0;59;5915;032;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Geltorf;00;;;24884;
001;Flensburg – Schleswig;01;0;59;5987;033;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Goltoft;00;;;24864;
