# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2020;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 20. Deutschen Bundestag (gemäß 24. Gesetz zur Änderung des Bundeswahlgesetzes vom 25.06.2020);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 15.04.2020;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;01;0000;000;Schleswig-Holstein;;Flensburg, Stadt;;Flensburg, Stadt;;;;24937;*****
001;Flensburg – Schleswig;01;0;59;5996;001;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Alt Bennebek;;;;24848;
001;Flensburg – Schleswig;01;0;59;5920;002;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kappeln-Land;Arnis, Stadt;;;;24399;
001;Flensburg – Schleswig;01;0;59;5996;005;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Bergenhusen;;;;24861;
001;Flensburg – Schleswig;01;0;59;5974;006;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Böel;;;;24401;*****
001;Flensburg – Schleswig;01;0;59;5987;008;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Böklund;;;;24860;
001;Flensburg – Schleswig;01;0;59;5996;009;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Börm;;;;24863;*****
001;Flensburg – Schleswig;01;0;59;5993;010;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Bollingstedt;;;;24855;
001;Flensburg – Schleswig;01;0;59;5915;012;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Borgwedel;;;;24857;
001;Flensburg – Schleswig;01;0;59;5915;018;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Busdorf;;;;24866;
001;Flensburg – Schleswig;01;0;59;5915;019;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Dannewerk;;;;24867;
001;Flensburg – Schleswig;01;0;59;5996;020;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Dörpstedt;;;;24869;
001;Flensburg – Schleswig;01;0;59;5993;023;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Ellingstedt;;;;24870;
001;Flensburg – Schleswig;01;0;59;5996;024;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Erfde;;;;24803;
001;Flensburg – Schleswig;01;0;59;5915;026;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Fahrdorf;;;;24857;
001;Flensburg – Schleswig;01;0;59;5915;032;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Geltorf;;;;24884;
001;Flensburg – Schleswig;01;0;59;5920;034;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kappeln-Land;Grödersby;;;;24376;*****
001;Flensburg – Schleswig;01;0;59;5996;035;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Groß Rheide;;;;24872;*****
